[10-14-2005] [13:27:21] CFileUpEe::ProcessRequest()				 - Src File: FileUpEe.cpp Line#: 3078
[10-14-2005] [13:27:21] CFileUpEe::GetHttpHeaders				 - Src File: FileUpEe.cpp Line#: 732
[10:14:2005] [13:27:21] CMimeParser::put_InputStream()				 - Src File: MimeParser.cpp Line#: 378
[10:14:2005] [13:27:21] CMimeParser::get_MimeParts()				 - Src File: MimeParser.cpp Line#: 2598
[10:14:2005] [13:27:21] CMimeParser::ProcessRequest()				 - Src File: MimeParser.cpp Line#: 1556
[10:14:2005] [13:27:21] CMimeParser::MimeGetPart()				 - Src File: MimeParser.cpp Line#: 1156
[10:14:2005] [13:27:21] CMimeParser::ReadToMatch()				 - Src File: MimeParser.cpp Line#: 471
[10:14:2005] [13:27:21] CMimeParser::CustomRead()				 - Src File: MimeParser.cpp Line#: 3922
[10:14:2005] [13:27:21] CMimeParser::updateStatus()				 - Src File: MimeParser.cpp Line#: 2471
[10:14:2005] [13:27:21] CMimeParser::ReadToMatch()				 - Src File: MimeParser.cpp Line#: 471
[10:14:2005] [13:27:21] CMimeParser::CustomRead()				 - Src File: MimeParser.cpp Line#: 3922
[10:14:2005] [13:27:21] CMimeParser::updateStatus()				 - Src File: MimeParser.cpp Line#: 2471
[10:14:2005] [13:27:21] CMimeParser::ReadToMatch()				 - Src File: MimeParser.cpp Line#: 471
[10:14:2005] [13:27:21] CMimeParser::CustomRead()				 - Src File: MimeParser.cpp Line#: 3922
[10:14:2005] [13:27:21] CMimeParser::updateStatus()				 - Src File: MimeParser.cpp Line#: 2471
[10:14:2005] [13:27:21] CMimeParser::ReadToMatch()				 - Src File: MimeParser.cpp Line#: 471
[10:14:2005] [13:27:21] CMimeParser::CustomRead()				 - Src File: MimeParser.cpp Line#: 3922
[10:14:2005] [13:27:21] CMimeParser::updateStatus()				 - Src File: MimeParser.cpp Line#: 2471
[10:14:2005] [13:27:21] CMimePart::CMimePart() Constructor				 - Src File: c:\softartisans\products\filetransfer\fileupee\src\mimeclient\MimePart.h Line#: 80
[10:14:2005] [13:27:21] CMimePart::FinalConstruct()				 - Src File: c:\softartisans\products\filetransfer\fileupee\src\mimeclient\MimePart.h Line#: 146
[10:14:2005] [13:27:21] CMimePart::Init()				 - Src File: MimePart.cpp Line#: 35
[10:14:2005] [13:27:21] CMimePart::put_CodePage()				 - Src File: MimePart.cpp Line#: 1702
[10:14:2005] [13:27:21] CMimePart::put_RawHeaderInfo()				 - Src File: MimePart.cpp Line#: 1951
[10:14:2005] [13:27:21] CMimePart::put_RawHeaderInfo() - Raw Header:  Content-Disposition: form-data; name="myFile"; filename="C:\test1.jpg"
Content-Type: image/pjpeg				 - Src File: MimePart.cpp Line#: 1952
[10:14:2005] [13:27:21] CMimePart::put_ContentID()				 - Src File: MimePart.cpp Line#: 832
[10:14:2005] [13:27:21] CMimePart::put_ContentID() - Content ID:  994FF9DF-32E0-4971-B247-DAE3464088B7				 - Src File: MimePart.cpp Line#: 833
[10:14:2005] [13:27:21] CMimeParser::Add()				 - Src File: MimeParser.cpp Line#: 2550
[10:14:2005] [13:27:21] CMimeParts::Add()				 - Src File: MimeParts.cpp Line#: 29
[10:14:2005] [13:27:21] CMimePart::put_Name()				 - Src File: MimePart.cpp Line#: 1622
[10:14:2005] [13:27:21] CMimePart::put_Name() - Name:  myFile				 - Src File: MimePart.cpp Line#: 1623
[10:14:2005] [13:27:21] CMimePart::put_FileName()				 - Src File: MimePart.cpp Line#: 1756
[10:14:2005] [13:27:21] CMimePart::put_Path()				 - Src File: MimePart.cpp Line#: 489
[10:14:2005] [13:27:21] CMimePart::OpenStream()				 - Src File: MimePart.cpp Line#: 976
[10:14:2005] [13:27:21] CMimePart::CheckStreamType()				 - Src File: MimePart.cpp Line#: 1094
[10:14:2005] [13:27:21] CMimePart::OpenFileStream()				 - Src File: MimePart.cpp Line#: 1107
[10:14:2005] [13:27:21] CFileBinaryStream::CFileBinaryStream()				 - Src File: c:\softartisans\products\filetransfer\fileupee\src\mimeclient\FileBinaryStream.h Line#: 26
[10:14:2005] [13:27:21] CFileBinaryStream::FinalConstruct()				 - Src File: c:\softartisans\products\filetransfer\fileupee\src\mimeclient\FileBinaryStream.h Line#: 57
[10:14:2005] [13:27:21] CFileBinaryStream::put_TempPath()				 - Src File: FileBinaryStream.cpp Line#: 774
[10:14:2005] [13:27:21] CFileBinaryStream::Init()				 - Src File: FileBinaryStream.cpp Line#: 275
[10:14:2005] [13:27:21] CMimePart::put_ContentDisposition()				 - Src File: MimePart.cpp Line#: 911
[10:14:2005] [13:27:21] CMimePart::put_ContentType()				 - Src File: MimePart.cpp Line#: 804
[10:14:2005] [13:27:21] CFileBinaryStream::Write()				 - Src File: FileBinaryStream.cpp Line#: 86
[10:14:2005] [13:27:21] CMimePart::CloseStream()				 - Src File: MimePart.cpp Line#: 996
[10:14:2005] [13:27:21] CFileBinaryStream::Close()				 - Src File: FileBinaryStream.cpp Line#: 434
[10:14:2005] [13:27:21] CMimeParser::MimeGetPart()				 - Src File: MimeParser.cpp Line#: 1156
[10:14:2005] [13:27:21] CMimeParser::ReadToMatch()				 - Src File: MimeParser.cpp Line#: 471
[10:14:2005] [13:27:21] CMimeParser::CustomRead()				 - Src File: MimeParser.cpp Line#: 3922
[10:14:2005] [13:27:21] CMimeParser::updateStatus()				 - Src File: MimeParser.cpp Line#: 2471
[10:14:2005] [13:27:21] CMimeParser::ReadToMatch()				 - Src File: MimeParser.cpp Line#: 471
[10:14:2005] [13:27:21] CMimeParser::CustomRead()				 - Src File: MimeParser.cpp Line#: 3922
[10:14:2005] [13:27:21] CMimeParser::updateStatus()				 - Src File: MimeParser.cpp Line#: 2471
[10:14:2005] [13:27:21] CMimeParser::ReadToMatch()				 - Src File: MimeParser.cpp Line#: 471
[10:14:2005] [13:27:21] CMimeParser::CustomRead()				 - Src File: MimeParser.cpp Line#: 3922
[10:14:2005] [13:27:21] CMimeParser::updateStatus()				 - Src File: MimeParser.cpp Line#: 2471
[10:14:2005] [13:27:21] CMimeParser::ReadToMatch()				 - Src File: MimeParser.cpp Line#: 471
[10:14:2005] [13:27:21] CMimeParser::CustomRead()				 - Src File: MimeParser.cpp Line#: 3922
[10:14:2005] [13:27:21] CMimeParser::updateStatus()				 - Src File: MimeParser.cpp Line#: 2471
[10:14:2005] [13:27:21] CMimePart::CMimePart() Constructor				 - Src File: c:\softartisans\products\filetransfer\fileupee\src\mimeclient\MimePart.h Line#: 80
[10:14:2005] [13:27:21] CMimePart::FinalConstruct()				 - Src File: c:\softartisans\products\filetransfer\fileupee\src\mimeclient\MimePart.h Line#: 146
[10:14:2005] [13:27:21] CMimePart::Init()				 - Src File: MimePart.cpp Line#: 35
[10:14:2005] [13:27:21] CMimePart::put_CodePage()				 - Src File: MimePart.cpp Line#: 1702
[10:14:2005] [13:27:21] CMimePart::put_RawHeaderInfo()				 - Src File: MimePart.cpp Line#: 1951
[10:14:2005] [13:27:21] CMimePart::put_RawHeaderInfo() - Raw Header:  Content-Disposition: form-data; name="SUB1"				 - Src File: MimePart.cpp Line#: 1952
[10:14:2005] [13:27:21] CMimePart::put_ContentID()				 - Src File: MimePart.cpp Line#: 832
[10:14:2005] [13:27:21] CMimePart::put_ContentID() - Content ID:  21E00EEA-EE0A-40E7-8414-21347A866D21				 - Src File: MimePart.cpp Line#: 833
[10:14:2005] [13:27:21] CMimeParser::Add()				 - Src File: MimeParser.cpp Line#: 2550
[10:14:2005] [13:27:21] CMimeParts::Add()				 - Src File: MimeParts.cpp Line#: 29
[10:14:2005] [13:27:21] CMimePart::put_Name()				 - Src File: MimePart.cpp Line#: 1622
[10:14:2005] [13:27:21] CMimePart::put_Name() - Name:  SUB1				 - Src File: MimePart.cpp Line#: 1623
[10:14:2005] [13:27:21] CMimePart::put_Path()				 - Src File: MimePart.cpp Line#: 489
[10:14:2005] [13:27:21] CMimePart::OpenStream()				 - Src File: MimePart.cpp Line#: 976
[10:14:2005] [13:27:21] CMimePart::CheckStreamType()				 - Src File: MimePart.cpp Line#: 1094
[10:14:2005] [13:27:21] CMimePart::OpenMemoryStream()				 - Src File: MimePart.cpp Line#: 1241
[10:14:2005] [13:27:21] CSASmartStream Constructor				 - Src File: c:\softartisans\products\filetransfer\fileupee\src\mimeclient\SASmartStream.h Line#: 40
[10:14:2005] [13:27:21] CSASmartStream::FinalConstruct()				 - Src File: c:\softartisans\products\filetransfer\fileupee\src\mimeclient\SASmartStream.h Line#: 74
[10:14:2005] [13:27:21] CMimePart::put_ContentDisposition()				 - Src File: MimePart.cpp Line#: 911
[10:14:2005] [13:27:21] CSASmartStream::Write()				 - Src File: SASmartStream.cpp Line#: 108
[10:14:2005] [13:27:21] CMimePart::CloseStream()				 - Src File: MimePart.cpp Line#: 996
[10:14:2005] [13:27:21] CMimeParser::updateStatus()				 - Src File: MimeParser.cpp Line#: 2471
[10-14-2005] [13:27:21] CSoapEnvelope::get_Files()				 - Src File: SoapEnvelope.cpp Line#: 519
[10-14-2005] [13:27:21] CSoapEnvelope::get_JobId()				 - Src File: SoapEnvelope.cpp Line#: 3508
[10:14:2005] [13:27:21] CMimeParts::get__NewEnum()				 - Src File: MimeParts.cpp Line#: 36
[10:14:2005] [13:27:21] CMimeParts::get_Item()				 - Src File: MimeParts.cpp Line#: 70
[10:14:2005] [13:27:21] CMimePart::get_TempFile()				 - Src File: MimePart.cpp Line#: 1896
[10:14:2005] [13:27:21] CFileBinaryStream::get_TempFile()				 - Src File: FileBinaryStream.cpp Line#: 709
[10:14:2005] [13:27:21] CMimePart::get_FileName()				 - Src File: MimePart.cpp Line#: 1734
[10-14-2005] [13:27:21] CFileEe::FinalConstruct()				 - Src File: SAFile.cpp Line#: 63
[10-14-2005] [13:27:21] CFileEe::Init()				 - Src File: SAFile.cpp Line#: 269
[10-14-2005] [13:27:21] CSoapEnvelope::get_JobId()				 - Src File: SoapEnvelope.cpp Line#: 3508
[10:14:2005] [13:27:21] CMimePart::get_ContentType()				 - Src File: MimePart.cpp Line#: 415
[10:14:2005] [13:27:21] CMimePart::get_ContentID()				 - Src File: MimePart.cpp Line#: 844
[10:14:2005] [13:27:21] CMimePart::get_ContentDisposition()				 - Src File: MimePart.cpp Line#: 927
[10:14:2005] [13:27:21] CMimePart::get_Size()				 - Src File: MimePart.cpp Line#: 1281
[10:14:2005] [13:27:21] CMimePart::get_TempFile()				 - Src File: MimePart.cpp Line#: 1896
[10:14:2005] [13:27:21] CFileBinaryStream::get_TempFile()				 - Src File: FileBinaryStream.cpp Line#: 709
[10:14:2005] [13:27:21] CMimePart::get_FileName()				 - Src File: MimePart.cpp Line#: 1734
[10:14:2005] [13:27:21] CMimePart::get_RelativeFileName()				 - Src File: MimePart.cpp Line#: 1866
[10:14:2005] [13:27:21] CMimePart::get_Name()				 - Src File: MimePart.cpp Line#: 1600
[10:14:2005] [13:27:21] CMimePart::get_Name() - Name:  myFile				 - Src File: MimePart.cpp Line#: 1614
[10:14:2005] [13:27:21] CMimePart::get_Name()				 - Src File: MimePart.cpp Line#: 1600
[10:14:2005] [13:27:21] CMimePart::get_Name() - Name:  myFile				 - Src File: MimePart.cpp Line#: 1614
[10:14:2005] [13:27:21] CMimeComposer::Add()				 - Src File: MimeComposer.cpp Line#: 140
[10:14:2005] [13:27:21] CMimeComposer::AddVariant()				 - Src File: MimeComposer.cpp Line#: 388
[10:14:2005] [13:27:21] CMimePart::CMimePart() Constructor				 - Src File: c:\softartisans\products\filetransfer\fileupee\src\mimeclient\MimePart.h Line#: 80
[10:14:2005] [13:27:21] CMimePart::FinalConstruct()				 - Src File: c:\softartisans\products\filetransfer\fileupee\src\mimeclient\MimePart.h Line#: 146
[10:14:2005] [13:27:21] CMimePart::put_ContentID()				 - Src File: MimePart.cpp Line#: 832
[10:14:2005] [13:27:21] CMimePart::put_ContentID() - Content ID:  407DE6F5-92EC-475D-A34E-17D60D0342D9				 - Src File: MimePart.cpp Line#: 833
[10:14:2005] [13:27:21] CMimePart::OpenStream()				 - Src File: MimePart.cpp Line#: 976
[10:14:2005] [13:27:21] CMimePart::CheckStreamType()				 - Src File: MimePart.cpp Line#: 1094
[10:14:2005] [13:27:21] CMimePart::OpenMemoryStream()				 - Src File: MimePart.cpp Line#: 1241
[10:14:2005] [13:27:21] CSASmartStream Constructor				 - Src File: c:\softartisans\products\filetransfer\fileupee\src\mimeclient\SASmartStream.h Line#: 40
[10:14:2005] [13:27:21] CSASmartStream::FinalConstruct()				 - Src File: c:\softartisans\products\filetransfer\fileupee\src\mimeclient\SASmartStream.h Line#: 74
[10:14:2005] [13:27:21] CMimePart::put_BodyText()				 - Src File: MimePart.cpp Line#: 1539
[10:14:2005] [13:27:21] CMimePart::CloseStream()				 - Src File: MimePart.cpp Line#: 996
[10:14:2005] [13:27:21] CMimeComposer::Add()				 - Src File: MimeComposer.cpp Line#: 475
[10:14:2005] [13:27:21] CMimeComposer::Add() - Key:  407DE6F5-92EC-475D-A34E-17D60D0342D9				 - Src File: MimeComposer.cpp Line#: 476
[10:14:2005] [13:27:21] CMimeParts::Add()				 - Src File: MimeParts.cpp Line#: 29
[10:14:2005] [13:27:21] CMimeParts::get_Item()				 - Src File: MimeParts.cpp Line#: 70
[10:14:2005] [13:27:21] CMimePart::put_ContentType()				 - Src File: MimePart.cpp Line#: 804
[10:14:2005] [13:27:21] CMimePart::put_CharSet()				 - Src File: MimePart.cpp Line#: 947
